time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/clip_fraction,train/explained_variance,train/clip_range,train/n_updates,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss
188416,592,1,13,0.0181640625,-1.5497207641601562e-06,0.2,220,0.001,2768.220588235294,29015.225000000002,0.0007591385,-0.09208793120924383,2732.580078125,-0.005544698578160023,7242.105921936035
196608,646,1,12,0.0128173828125,5.960464477539063e-08,0.2,230,0.001,2649.8513513513512,28771.16081081081,0.00036852437,-0.07115303012542426,2745.8115234375,-0.0024621484262752347,6793.312951660157
204800,419,1,19,0.01011962890625,5.960464477539063e-08,0.2,240,0.001,2549.025,28563.625,0.00034782177,-0.06402751309797168,2322.0556640625,-0.002193294863536721,6276.927241516113
212992,668,1,12,0.00777587890625,-3.5762786865234375e-07,0.2,250,0.001,2462.139534883721,28383.413953488372,0.00024923828,-0.044712073483970015,2086.09326171875,-0.0017443406653910643,5826.576251220703
221184,345,1,23,0.00927734375,-6.556510925292969e-06,0.2,260,0.001,2375.0752688172042,28204.040860215056,0.00031801237,-0.04967438575113192,1938.8756103515625,-0.002086115080601303,5309.4251686096195
229376,670,1,12,0.00684814453125,-1.1920928955078125e-07,0.2,270,0.001,2309.787878787879,28068.037373737374,0.00035615696,-0.03809818590525538,1947.3701171875,-0.0015105961851077155,4949.920723724365
237568,659,1,12,0.00296630859375,0.0,0.2,280,0.001,1913.35,27524.183000000005,9.4701536e-05,-0.025773005560040474,1773.188232421875,-0.0007213104643597034,4551.15331954956
245760,662,1,12,0.0025390625,0.0,0.2,290,0.001,1520.47,26951.909000000003,7.958915e-05,-0.022872719209408386,1761.1546630859375,-0.0005203334756515687,4150.042221069336
253952,591,1,13,0.00281982421875,5.960464477539063e-08,0.2,300,0.001,1412.2,26563.152000000006,8.7110384e-05,-0.015809493788401595,1389.681884765625,-0.00037022348842583595,3829.5290046691894
262144,651,1,12,0.0017333984375,1.1920928955078125e-07,0.2,310,0.001,1356.81,26280.437,0.00017476178,-0.014584493916481733,1284.904296875,-0.00029603280454466586,3454.720863342285
270336,624,1,13,0.00059814453125,5.960464477539063e-08,0.2,320,0.001,1322.15,26091.237,2.5137895e-05,-0.010415570778422988,1629.685791015625,-0.00015392561290354933,3148.1499755859377
278528,577,1,14,0.00037841796875,-1.1920928955078125e-07,0.2,330,0.001,1311.65,26027.543,2.457093e-05,-0.008624931838130578,715.5189819335938,-7.880582852521911e-05,2943.100389480591
286720,616,1,13,0.00064697265625,0.0,0.2,340,0.001,1305.48,25995.476000000002,2.9802439e-05,-0.006527490123698953,996.2008666992188,-0.0001498723646363942,2600.5934577941894
294912,541,1,15,0.00052490234375,0.0,0.2,350,0.001,1302.06,25979.428000000004,3.963375e-05,-0.0045120609880541455,993.4720458984375,-0.0001234963354363572,2369.646514892578
